name,gender,nationality,homeroom,email
Steven Bobby1,Male,Russian,10W,22steveno@nagoyais.info
Soya Bobby2,Male,Alien,10G,22soyas@nagoyais.info
Jean Fischer,Female,French,10W,22Jean3@email
Abigail Smith,Male,Ugandan,10G,22Jean4@email
Elle Wellington,Female,Jamaican,10W,22Jean5@email
Ellie Abbey,Male,Congonese,10G,22Jean6@email
Elizabeth Washington,Male,Azerbaijani?,10G,22Jean7@email
Someone Beckham,Female,Rwandan,10G,22Jean8@email
X Day,Male,Canadian,10W,22Jean9@email
Y Charlier,Male,Peacock,10G,22Jean10@email
Trump Bobbby1,Male,Flea,10G,22Jean11@email
B Bobbby12,Male,Canadian,10W,22Jean12@email
C Bobby13,Male,Person,10G,22Jean13@email
D Bobbby14,Female,Oyster,10G,22Jean14@email
E Bobbby15,Male,GuineaPig,10W,22Jean15@email
